name,release_date,price,positive,negative,app_id,min_owners,max_owners,hltb_single
SHEEPO,2020-08-26,4.99,166,2,1281790,0,20000,5.0
Yatzy,2017-11-21,4.99,16,8,749010,0,20000,
Aim Bot,2021-05-20,6.99,11,2,995170,0,20000,
FEWAR-DVD,2021-12-31,4.99,39,0,1769510,0,20000,
Animal Defense Versus,2021-11-03,0.0,12,3,1647700,0,20000,
Creatio Ex Nihilo: Aition,2018-02-05,0.99,4,12,738080,50000,100000,
Christmas Celebration With Sakuya Izayoi,2021-12-21,3.99,79,7,1835060,0,20000,
Nusakana,2015-11-19,8.99,68,8,401290,20000,50000,15.0
Godspell Defender,2022-05-23,1.99,4,0,1580460,0,20000,
Sakuya Izayoi Gives You Advice And Dabs,2020-02-10,0.99,1676,28,1232180,20000,50000,1.0
Dragon Extinction VR,2022-04-28,19.99,15,9,1301430,0,20000,
Cubway,2016-08-11,3.99,89,34,511160,50000,100000,2.0
Wolfsong,2016-02-01,1.5,15,7,440410,0,20000,
File Under Kingdom,2022-01-18,9.99,12,1,1851120,0,20000,
The Wishing Stone,2021-12-09,8.99,10,0,1330100,0,20000,
蜀山幻剑录 Sword of Shushan,2020-09-24,9.99,54,49,1376690,0,20000,
Darwin Project,2020-01-13,0.0,15023,3441,544920,500000,1000000,
Hidden Object Bundle 5 in 1,2015-02-26,9.99,129,67,346140,20000,50000,
Double Turn,2020-11-06,4.99,8,9,762680,0,20000,
Joyspring,2021-08-16,0.0,98,21,1532360,0,20000,
Anomalous,2022-01-11,4.99,53,5,1435970,0,20000,
The Lost King of Avallon,2021-11-02,14.99,15,7,1576970,0,20000,
Minestrife,2020-10-07,3.99,3,0,1425640,0,20000,
无限家园,2022-01-11,0.0,2,1,1160770,0,20000,
Spellbind : Luppe's tale,2016-03-04,2.99,12,11,440790,0,20000,
Juice Mania,2020-02-07,4.99,4,5,1233510,0,20000,
Draft Day Sports: College Basketball 2021,2021-03-05,24.99,34,5,1554130,0,20000,
Let Them Come,2017-10-03,7.99,865,126,505630,50000,100000,2.0
Dark Places,2019-04-09,4.99,64,55,926810,20000,50000,2.0
Animalia Survival,2021-09-09,19.99,808,395,1364290,50000,100000,
Green Hell VR,2022-06-09,19.99,305,117,1782330,0,20000,
Fast Food Manager,2021-04-16,14.99,144,54,1519790,0,20000,
NO-GO,2019-09-06,7.99,0,4,941710,0,20000,
Malavision: The Beginning,2016-10-17,4.99,29,17,511490,0,20000,
Squish and the Corrupted Crystal,2017-08-08,14.99,2,0,662390,0,20000,
PhyTetris-Physics Tetris,2021-10-25,0.99,7,1,1778780,0,20000,
Nevrosa: Primal Ritual,2019-11-22,19.99,18,8,1070410,0,20000,1.0
Karma - Chapter 1,2021-03-17,5.99,2,2,1513400,0,20000,
Creature Hunt,2019-04-10,14.99,11,24,1046240,0,20000,
The Last Will,2021-10-13,1.99,0,2,1757400,0,20000,
Tinhead,2019-08-23,7.99,2,1,1137690,0,20000,8.0
AvoCuddle,2019-07-12,4.99,27,2,1072610,0,20000,4.0
Forgotten Hope,2021-05-12,3.99,69,4,1552130,0,20000,
AIDA: The Beginning of the Story,2020-10-16,4.99,5,3,1353180,0,20000,
Temple Hunters,2021-07-21,10.99,4,0,1459250,0,20000,
Legena: Union Tides,2015-10-08,0.0,13,5,401550,0,20000,
NearEscape,2022-03-20,1.99,7,5,918610,0,20000,
Elansar,2016-01-11,3.99,10,8,435070,0,20000,2.0
Samurai Aces III: Sengoku Cannon,2020-07-13,9.99,15,11,1279390,0,20000,1.0
FUN Platformer,2021-09-28,1.99,2,0,1700420,0,20000,
Idle Adventure,2018-04-13,0.0,274,146,714020,100000,200000,
Pro Cycling Manager 2018,2018-06-28,14.99,292,96,704230,100000,200000,
Pajama Sam's Lost & Found,2014-06-06,4.99,18,10,292860,0,20000,1.0
城堡传说：魔王觉醒,2019-04-25,11.99,153,40,1042560,0,20000,
Airborne: Trials,2020-12-26,0.0,6,3,1115110,0,20000,
Black Swan,2016-11-30,6.99,17,51,560230,0,20000,5.0
!AnyWay!,2018-06-06,1.79,246,113,866510,50000,100000,
Grisaia Phantom Trigger Vol.7,2020-07-21,24.99,89,10,1292770,0,20000,
Flashpoint Campaigns: Red Storm Player's Edition,2014-11-21,49.99,182,18,330720,0,20000,
Jurassic Survival,2016-08-01,8.99,11,32,498280,0,20000,
Inspector - 生化战警,2019-10-02,2.99,2,0,1153710,0,20000,1.0
Mythic Pearls: The Legend of Tirnanog,2019-08-15,3.99,3,2,1133530,0,20000,
Lilith-M,2019-09-09,3.99,4,0,1090380,0,20000,
Ninja Stealth 2,2017-01-30,0.99,277,145,585830,100000,200000,
Gryphon Knight Epic,2015-08-20,12.99,216,45,358650,20000,50000,3.0
Cosmic Disco,2020-12-27,0.99,6,3,1372390,0,20000,
Aliens Love Beefs,2020-05-29,9.99,1,0,1273060,0,20000,
-SPROUT-,2020-07-30,5.99,72,2,1336340,0,20000,1.0
CrocoMars,2018-03-05,0.0,135,27,798280,20000,50000,
Jiangshi x Daoshi,2020-07-16,0.0,133,11,1338460,20000,50000,
停留此刻 Stay in the moment,2022-06-03,0.99,117,17,2002450,0,20000,
NOSTOI,2018-09-28,1.99,8,3,773810,0,20000,
UNSIGHTED,2021-09-30,19.99,862,45,1062110,0,20000,8.0
Fate of the Storm Gods,2021-01-28,5.99,7,5,1380120,0,20000,
Jumping Over It With Kang KiYun,2019-07-17,2.99,18,13,1107210,0,20000,
Just King,2022-07-21,2.99,92,7,1059980,0,20000,
BloodRayne: Terminal Cut,2020-11-20,14.99,808,83,1373510,20000,50000,7.0
Click and Relax,2021-02-11,9.99,0,10,1537960,0,20000,
Dodge If you Can!,2019-12-06,14.99,4,0,1186280,0,20000,
Balance Roll,2019-03-15,3.99,9,3,1032510,0,20000,
ball.io,2021-11-07,0.99,5,1,1691370,0,20000,
H-Rescue,2020-01-29,1.99,377,110,1058530,20000,50000,3.0
The Casebook of Arkady Smith,2020-04-14,4.99,5,9,1260840,0,20000,
SUPER DRINK BROS.,2020-11-12,4.99,168,22,1460750,0,20000,
Dustoff Heli Rescue,2015-03-06,3.99,302,55,341730,20000,50000,4.0
Sharknado VR (Arcade Edition),2021-12-09,0.99,4,2,986480,0,20000,
Deadly Contact,2017-12-22,0.0,24,7,751350,20000,50000,
Commie Killer 2069,2021-02-06,0.0,70,14,1508490,20000,50000,
Nogard,2018-03-29,4.99,2,0,725140,0,20000,
Logout,2018-05-01,0.0,24,17,798950,20000,50000,
Knights and Merchants,2013-10-14,6.99,3420,644,253900,500000,1000000,47.0
MAR WAR: The Evil Awakens,2018-02-01,4.99,1,7,788960,0,20000,
Wolf's Fury,2019-05-03,12.99,7,1,619270,0,20000,
Endersite,2018-05-25,0.0,24,16,838220,0,20000,
Faircroft's Antiques: Treasures of Treffenburg,2020-11-25,6.99,9,0,1264650,0,20000,
Frustrate-a-ball,2019-09-11,1.99,2,4,1143330,0,20000,
King of Dragon Pass,2015-07-28,11.99,336,82,352220,20000,50000,7.0
Rolling Bird,2018-12-28,0.79,162,15,978800,20000,50000,
Stealthscape,2020-10-19,0.0,27,1,670720,0,20000,
Alone in the Dark,2013-10-29,9.99,346,533,259170,50000,100000,9.0
Cross Country Express,2020-04-10,0.0,2,2,1128630,0,20000,
AR-K,2014-07-21,7.99,268,206,269890,100000,200000,4.0
Lords of Xulima,2014-11-14,19.99,923,217,296570,20000,50000,47.0
~Be a maid in the Demon World~ The Secret Café of the Demon Angel Hero.,2020-11-20,18.99,226,54,1377550,0,20000,
归途,2020-07-12,74.99,3,0,1350860,0,20000,
Onii-Chan,2018-03-27,0.0,85,65,807920,0,20000,8.0
"Mummy, mummy, mummy!",2021-08-25,9.99,2,2,1719890,0,20000,
Fares,2019-08-30,6.99,9,1,1094070,0,20000,
Bad Rats Show,2016-07-20,1.99,656,162,393200,20000,50000,4.0
Miko Mole,2016-05-25,4.99,9,8,473480,0,20000,
Taxi Chaos,2021-10-19,24.99,18,23,1457570,0,20000,3.0
Scratch Girl,2021-12-14,0.99,142,38,1814490,0,20000,
Me Smart Orc,2018-08-28,0.0,7,1,913690,20000,50000,
VR Darts Zone,2017-09-15,7.99,0,1,685730,0,20000,
Cat Inside,2018-08-17,1.99,11,0,913120,0,20000,
New Home: Medieval Village,2022-01-14,19.99,92,45,1658870,0,20000,
The Devil's Calculator,2019-02-18,2.99,70,3,1014280,0,20000,
Corrosion: Cold Winter Waiting [Enhanced Edition],2015-07-01,7.99,156,73,349140,50000,100000,
Mortars VR,2018-01-03,0.99,99,62,711440,20000,50000,
Cursed Town,2022-06-03,2.99,0,1,1776920,0,20000,
Rugby Champions,2019-09-05,16.99,50,18,939350,0,20000,
Office Management 101,2022-03-16,19.99,49,8,678390,0,20000,
Ball Ranger,2021-09-28,4.99,5,1,1746280,0,20000,
Make War,2019-08-14,9.99,58,22,1120210,0,20000,3.0
FlappyU VR,2018-04-18,1.99,1,0,822740,0,20000,
Yakuza: Like a Dragon,2020-11-10,59.99,16181,620,1235140,200000,500000,46.0
"It's Six Random Characters and a Single Floor Dungeon, That's the Whole Game",2020-11-02,4.99,7,1,1452000,0,20000,
枪炮派对,2020-06-12,0.99,2,1,1329130,0,20000,
Adventures of Chris,2020-10-08,14.99,94,12,341170,0,20000,6.0
Fight Sparring VR,2017-07-24,1.79,4,3,665730,0,20000,
Tank Battle: Normandy,2017-06-09,9.99,12,3,374940,0,20000,
Ib,2022-04-11,12.99,1166,9,1901370,20000,50000,3.0
CaptainMarlene,2019-05-03,11.99,15,4,1064580,0,20000,
Fade to Silence,2019-04-30,29.99,724,420,706020,50000,100000,32.0
Timothy and the Mysterious Forest,2019-09-25,9.99,9,4,1096980,0,20000,3.0
Evolution of War,2021-10-12,1.99,0,1,1728960,20000,50000,
Sword and Fairy 3 Ex,2021-04-14,7.99,234,48,1536080,20000,50000,
Pregnant,2021-11-23,0.0,9,6,1802460,0,20000,
Audiate,2018-10-29,29.99,1,0,886480,0,20000,
Wimp: Who Stole My Pants?,2015-06-05,3.99,36,9,331570,0,20000,
Fastlane Bowling,2021-09-16,2.49,1,4,1644930,0,20000,
Sakura Hime,2021-10-15,3.99,929,76,1732740,20000,50000,
Dinosaur Hunt Puzzle,2018-06-13,0.99,231,83,874400,50000,100000,
Off-Road Paradise: Trial 4x4,2017-02-06,19.99,60,35,556230,0,20000,
Faron's Fate,2015-10-15,0.99,25,13,409360,0,20000,1.0
Castle Wonders - A Castle Tale,2020-08-25,5.99,9,5,1390880,0,20000,
Beetle Uprising,2020-11-05,9.99,47,12,662680,0,20000,
C64 & AMIGA Classix Remakes Sixpack 2,2017-11-25,5.99,5,2,751680,0,20000,
HAAK,2020-09-16,17.99,193,28,1352930,0,20000,
Ready? Set. Haiya!,2020-05-08,0.0,9,2,1287100,0,20000,
Munich Bus Simulator,2014-04-07,14.99,155,117,283560,20000,50000,
Coffee Rush,2019-11-21,4.99,2,0,1188280,0,20000,
Digital Rose,2019-10-04,14.99,0,1,1067730,0,20000,
Basingstoke,2018-04-27,34.99,234,99,336940,20000,50000,2.0
Pilot's Misadventures,2021-03-25,0.99,2,0,1566590,20000,50000,
Dance Magic,2016-02-15,9.99,32,19,394260,0,20000,1.0
Peninsular War Battles,2017-09-01,9.99,15,15,675950,20000,50000,
枕边少女 MOE Hypnotist - share dreams with you,2019-01-27,6.99,608,50,942930,20000,50000,
Gaia,2020-04-03,19.99,54,34,906790,50000,100000,1.0
Starfighter General,2020-11-21,0.0,11,2,658480,0,20000,
SECTOR 40: The Soviet Legacy,2020-03-20,0.99,1,5,1260250,0,20000,
Metrail,2019-11-02,0.0,5,2,1179750,0,20000,
Over Sky,2019-07-12,0.99,1,0,1105490,0,20000,
Time Splatter,2018-11-19,0.99,44,18,949530,0,20000,
Non-Linear Text Quests,2018-07-24,0.0,26,8,531630,0,20000,
Dungeon Alchemist,2022-03-31,44.99,842,34,1588530,20000,50000,
Content Creator's Internet Adventure,2021-10-14,4.99,3,0,1490330,20000,50000,4.0
The Dead Cloud Forest,2017-12-26,0.99,3,3,765630,0,20000,
Metin2,2017-05-08,0.0,10180,4390,550900,2000000,5000000,
Fimbul,2019-02-28,9.99,21,12,771690,0,20000,3.0
Danganronpa S: Ultimate Summer Camp,2022-07-20,19.99,77,66,1691970,0,20000,
"Warhammer 40,000: Battle Sister",2022-03-08,19.99,154,70,1733890,20000,50000,
Damaged In Transit,2020-03-23,14.99,12,0,1063120,0,20000,
Hextech Mayhem: A League of Legends Story™,2021-11-16,9.99,1674,393,1651960,100000,200000,
Thrillgate,2020-04-07,11.99,7,0,1248030,0,20000,
Whisper,2020-08-12,2.99,3,0,1255880,0,20000,
WREN,2022-01-14,12.99,1,0,1101960,0,20000,1.0
Party Pumper,2019-11-21,8.99,26,10,1152440,0,20000,
不可能犯罪事件簿-Impossible Crime Book,2022-05-16,9.99,4,4,1976800,0,20000,
Fillit,2022-06-02,3.99,5,0,1446540,0,20000,
Magnibox,2019-03-26,4.99,47,2,999410,0,20000,
Flannel Amethyst,2021-11-23,0.51,18,12,1813890,0,20000,
Angel Tears,2020-10-27,1.99,9,6,1438110,0,20000,
Carmageddon: Max Damage,2016-10-27,16.99,2132,636,505170,200000,500000,15.0
中年失业模拟器When a man lose his job,2021-05-14,3.59,224,67,1503850,20000,50000,
Battle Carnival,2018-04-26,0.0,820,372,803140,200000,500000,
DarkSpace 暗宇战纪,2019-08-23,9.99,16,2,1122810,0,20000,
ParkourMan,2018-07-24,1.99,2,1,886830,0,20000,
Watch Your Helmet,2020-08-11,0.99,0,1,1372260,50000,100000,
Attentat 1942,2017-10-31,10.99,297,17,676630,50000,100000,1.0
The Sole Survivor,2021-05-25,9.99,2,1,1620050,0,20000,
末法仙路,2019-06-20,6.99,30,38,1062260,0,20000,
Rapid Tap,2018-01-22,0.0,353,27,746920,20000,50000,
Dōkyūsei: Bangin' Summer,2022-04-14,19.99,850,47,1689910,20000,50000,
G-MODEアーカイブス+ 弾幕検定死験-大往生編-,2022-01-19,4.99,4,0,1815030,0,20000,8.0
INFINITI VR,2017-03-28,0.0,40,20,612790,20000,50000,
Slime Dungeon Escape,2021-04-27,0.99,5,0,1575030,0,20000,
Hoshizora no Memoria -Wish upon a Shooting Star-,2017-12-18,19.99,178,5,715580,20000,50000,64.0
Super Toaster X: Learn Japanese RPG,2017-01-22,9.99,1,4,530080,0,20000,
Disgraced,2016-11-18,9.99,68,13,485360,50000,100000,7.0
Q.U.I.R.K.™,2017-03-29,0.0,25,12,577210,0,20000,
Sunday Rivals,2022-05-16,19.99,158,13,1297790,0,20000,
Deadhold,2017-08-25,0.0,26,18,346930,0,20000,
Quest 4 Papa: Reloaded,2020-06-03,0.0,78,8,1323410,20000,50000,1.0
Ritual on the Eve 前夜祭,2018-08-08,2.99,53,10,896670,20000,50000,
Front Wars,2015-08-17,6.99,30,27,370160,0,20000,
Talshard,2020-02-05,7.99,1,0,1204670,0,20000,
In Passing,2019-10-24,0.0,104,28,1172090,20000,50000,
SPY ESCAPE,2021-03-10,0.0,11,2,1558440,0,20000,
Meteor 60 Seconds!,2018-02-26,0.0,3824,148,788770,200000,500000,1.0
Pinzzo,2022-03-21,1.99,1,1,1929330,0,20000,
RocketGirl,2017-12-15,4.99,6,1,760960,0,20000,
Move or Die,2016-01-21,14.99,18844,2094,323850,1000000,2000000,7.0
Legendary Hunter VR,2017-08-24,9.99,39,13,642170,0,20000,
Surviving the Aftermath,2021-11-16,29.99,2179,927,684450,100000,200000,5.0
4ife,2020-07-09,3.99,12,3,1341470,20000,50000,
Betweenside,2018-09-12,5.99,3,1,860600,0,20000,
Dunk Lords,2020-03-18,9.99,41,5,612640,0,20000,3.0
Cute animal jigsaw puzzle,2021-03-05,1.99,29,2,1499660,0,20000,
Icycle: On Thin Ice,2017-10-25,6.99,72,5,658990,0,20000,1.0
KARTOFELKA,2018-01-10,0.99,29,26,756230,0,20000,
Robot Labs Remake,2021-10-18,0.99,6,5,1683670,0,20000,
Acquitted,2022-05-02,7.95,703,15,1954750,20000,50000,
Hiragana Pixel Party,2016-03-18,7.99,16,7,417310,0,20000,5.0
Viking Rage,2017-04-28,1.79,19,20,589150,0,20000,
Wander No More,2017-02-18,0.0,131,21,463020,20000,50000,
Pillars of Eternity II: Deadfire,2018-05-08,39.99,13018,1863,560130,500000,1000000,40.0
CRASH: Autodrive,2021-04-20,9.99,9,1,1199050,0,20000,6.0
dungeon & heros,2021-03-04,5.99,35,13,1314170,0,20000,
Case Opener Guns,2018-11-21,1.99,6,2,976720,0,20000,
Heidelberg 1693,2021-05-21,14.99,44,8,1253520,20000,50000,2.0
Blood Moon: The Last Stand,2018-03-20,0.99,1,1,806480,20000,50000,
Endurance Labyrinth,2021-03-23,0.99,18,0,1528200,0,20000,
Red Johnson's Chronicles - 1+2 - Steam Special Edition,2014-09-05,0.99,23,37,312050,20000,50000,
Super Lovely Planet,2017-07-28,4.99,19,9,588540,0,20000,4.0
Campus Notes - forget me not.,2016-04-06,11.99,59,7,435360,0,20000,4.0
Tetris® Effect: Connected,2021-08-17,39.99,3749,156,1003590,100000,200000,3.0
Zaccaria Pinball,2016-06-16,0.0,951,186,444930,200000,500000,1.0
Onion Force,2016-03-02,4.99,58,12,434980,20000,50000,7.0
Space Wars,2018-07-23,0.9,5,4,892910,0,20000,
Avalom: Ancestral Heroes,2021-09-13,17.99,54,23,1448230,0,20000,
VRun,2017-06-01,4.99,1,0,644740,0,20000,
Memory Booster,2021-09-30,1.99,23,5,1755470,0,20000,
MAP GAME: Or Something,2020-12-24,4.99,1,0,1491540,0,20000,
Noob - Les Sans-Factions,2021-06-29,29.99,722,121,1623880,20000,50000,
Heroes of SoulCraft - Arcade MOBA,2015-07-20,0.0,194,286,319570,200000,500000,
Ashland Dossier,2022-04-20,10.99,8,2,1174680,0,20000,
Stream Battlecards,2020-01-20,9.99,11,1,951490,0,20000,
Dream Car Builder,2018-09-21,9.99,819,65,488550,20000,50000,
Jack Keane 2 - The Fire Within,2013-06-28,9.99,28,34,236970,0,20000,8.0
Stickman Maverick : Bad Boys Killer,2018-11-07,2.99,3,1,948690,0,20000,
轮回修真OL,2021-02-14,0.0,17,21,1533940,20000,50000,
Snake Man's Adventure,2021-06-08,5.99,4,1,1500300,0,20000,
Magic Duels,2015-07-29,0.0,16976,7015,316010,2000000,5000000,14.0
Cube Flip,2021-11-19,4.99,8,1,1600300,20000,50000,
Hyperspeed,2015-04-01,1.39,15,6,347260,0,20000,
"My Tower, My Home",2016-03-15,0.0,21,11,435600,0,20000,
BlindMaze,2018-04-20,0.99,7,3,841570,0,20000,
Drift (Over) Drive,2017-09-24,1.99,18,24,447920,200000,500000,
In Her Eyes,2020-04-01,9.99,62,8,1213000,0,20000,
Cygnus Pizza Race,2021-02-11,3.99,17,0,1487030,0,20000,
Penny Black,2018-05-17,0.0,80,5,839240,0,20000,1.0
Dangerous Planet,2021-06-11,3.99,4,6,1644640,0,20000,
Tales Runner,2015-02-17,0.0,341,260,328060,200000,500000,
Into Oblivion,2018-07-30,4.99,13,1,618990,0,20000,
Dream Catcher,2020-07-24,0.99,47,37,1275290,0,20000,1.0
Cotropitorii,2018-12-27,2.99,7,0,992420,0,20000,
Hue Defense,2018-07-06,4.99,8,7,512070,0,20000,
Zball II,2020-09-09,1.99,3,7,1405720,0,20000,
Boot Hill Bounties,2017-12-14,12.99,22,1,727290,0,20000,27.0
Warpips,2022-04-21,6.79,2350,303,1291010,100000,200000,2.0
Construction Simulator 2 US - Pocket Edition,2018-09-12,11.99,377,135,787740,50000,100000,
Yarn,2021-09-06,3.99,4,0,1731450,0,20000,
"SnarfQuest Tales, Episode 1: The Beginning",2017-03-17,4.99,3,3,470020,0,20000,
K37-D,2019-12-22,4.99,3,0,1193200,50000,100000,
Virtual Fighting Championship (VFC),2018-09-21,19.99,118,41,779130,0,20000,
The Surge 2,2019-09-23,29.99,4793,1368,644830,500000,1000000,22.0
Capitalism 2,2017-08-01,9.99,314,63,638200,20000,50000,
Axis Football 2015,2015-07-15,3.99,259,116,370090,100000,200000,
Planta,2020-08-06,4.99,13,14,1348030,0,20000,
Horror Bar VR,2021-02-25,19.99,54,6,1418430,0,20000,
Hex Slayer,2020-10-15,11.99,4,1,1408350,0,20000,
from view,2021-09-16,3.99,4,1,1721300,0,20000,
Shadow Ninja: Apocalypse,2015-11-16,1.99,96,66,389160,50000,100000,1.0
Blood of Darkness,2021-04-19,1.99,10,1,646830,0,20000,
YOU and ME and HER: A Love Story,2020-05-25,29.99,1628,54,1293820,20000,50000,6.0
Ghost Cash Collect,2021-04-15,1.99,6,1,1577910,0,20000,
Auf Wiedersehen Monty,2022-07-18,1.99,0,1,2067220,0,20000,
Allison's Diary: Rebirth,2018-12-07,4.99,7,8,979890,0,20000,2.0
Strange Investigations: Becoming Collector's Edition,2022-06-17,9.99,2,0,1709240,0,20000,
Zazmo Arcade Pack,2018-08-02,9.99,3,5,770320,0,20000,
Accel,2019-02-12,0.0,71,13,994260,20000,50000,1.0
Biotoxin: The Dark Days,2017-03-02,2.99,14,9,601870,0,20000,
Blade Strangers,2018-08-27,19.99,180,57,565170,0,20000,2.0
AREA MAN LIVES,2022-05-12,19.99,6,5,1237780,0,20000,
Knights of Light: The Prologue,2020-02-29,24.99,6,31,1159700,0,20000,
The Castles of Dr. Creep,2016-09-02,1.99,38,4,517930,0,20000,
Pandemos,2020-12-20,0.99,15,0,1447600,0,20000,
Forbidden Love With The Ghost Girl,2019-11-19,14.99,168,19,1180270,0,20000,
Anno 1404 - History Edition,2020-06-25,14.99,1261,271,1281630,100000,200000,16.0
B.i.t.Lock,2019-09-06,0.0,32,2,1138990,0,20000,
Fistful of Frags,2014-05-09,0.0,30718,2907,265630,2000000,5000000,
Dinosaur Forest,2017-05-17,0.51,364,286,506730,100000,200000,1.0
True or False,2016-09-16,0.0,887,430,521340,100000,200000,1.0
Majikoi! Love Me Seriously!,2021-02-26,34.99,93,6,1460490,0,20000,8.0
The Aegis Saga,2020-04-02,5.99,5,5,1233850,0,20000,
RoadkillerZ,2017-05-29,3.99,4,12,637040,0,20000,
Kite,2018-03-07,9.99,25,2,512000,0,20000,2.0
Space to Grow,2021-08-13,9.99,8,1,1706470,0,20000,
The Adventures of Wolf and Hood - A Jigsaw Tale,2020-12-12,4.99,15,0,1380630,0,20000,1.0
Hustomten,2020-12-14,1.99,4,0,1479210,20000,50000,
Xploquest,2017-12-06,0.0,22,4,763870,0,20000,
[Chilla's Art] Yuki Onna | 雪女,2020-01-02,4.99,101,27,1191070,0,20000,2.0
Tekling,2018-02-05,0.0,4,0,678460,0,20000,
Spellgear,2017-04-07,0.0,51,28,470040,0,20000,
Oneteam Soccer,2020-07-23,0.0,30,3,1320030,0,20000,
Hypnosis Reveries,2022-05-20,9.99,8,1,1960870,0,20000,
Rain of Pumpkins,2017-10-23,2.99,0,2,659160,0,20000,
Hidden Expedition: The Pearl of Discord Collector's Edition,2017-04-08,9.99,4,0,610550,0,20000,
Esse Proxy,2022-07-11,19.99,61,13,1485070,0,20000,
EBONY,2019-11-19,8.99,11,15,1181280,0,20000,1.0
ZombieThon,2018-05-18,14.99,14,24,718270,0,20000,
Pro Strategy Football 2016,2016-09-06,0.0,11,3,499070,0,20000,
The Red Hood,2022-03-14,1.99,29,9,1900970,0,20000,
F1® 22,2022-06-30,59.99,4849,2467,1692250,100000,200000,
Candy Match 3,2022-02-09,5.99,1,3,1852610,0,20000,
Gunhouse,2020-02-06,6.99,13,7,704110,0,20000,3.0
ShapeGrid,2022-04-04,1.99,14,0,1860870,0,20000,
人格面具：陰影面積(Persona：Shadow),2020-03-27,0.0,2,2,1253400,0,20000,
TEXT,2018-10-18,2.99,37,10,954590,0,20000,1.0
Storm Tale 2,2021-04-15,9.99,26,4,1588940,0,20000,
SAVE BILLY,2022-01-24,24.99,11,2,1860530,0,20000,
The Wednesday,2020-11-30,5.99,56,61,1119610,20000,50000,
Hexaverse,2018-08-17,4.99,2,1,468350,0,20000,
Miaou Moon,2016-08-18,5.99,21,14,513580,0,20000,
Kerbal Space Program,2015-04-27,9.99,99479,5321,220200,2000000,5000000,100.0
Streets of Rogue,2019-07-12,19.99,15326,556,512900,500000,1000000,12.0
Strike Suit Zero,2013-01-23,19.99,1253,372,209540,500000,1000000,7.0
I'm on Observation Duty 4,2021-12-22,4.99,385,6,1730360,0,20000,
4islands,2019-10-20,7.99,9,4,1167760,0,20000,
Monkey vs Dino,2021-04-14,9.99,18,14,1588140,0,20000,
Mithos,2021-08-06,5.99,0,1,1704130,0,20000,
flaming/million,2021-02-15,0.0,3,2,1522860,0,20000,
Cures & Curios,2019-08-27,0.0,11,0,1141740,0,20000,
Miner Mayhem,2015-09-23,2.99,70,41,402850,50000,100000,
Rhythm Race,2021-07-22,1.49,15,1,1298310,0,20000,
Evo Explores,2016-05-16,3.99,309,18,467210,20000,50000,1.0
Wwbit,2018-08-17,0.0,710,566,907680,100000,200000,
Sir! I'd Like To Report A Bug!,2015-10-19,1.99,19,12,393240,0,20000,
Shadows in the Darkness,2017-10-19,4.99,5,3,626020,0,20000,
RPG Maker MV,2015-10-23,15.99,5791,520,363890,200000,500000,
Natural Instincts: European Forest,2021-07-22,9.99,126,54,1168610,50000,100000,
Borderlands 3,2020-03-13,59.99,87281,16216,397540,2000000,5000000,22.0
Through The Dust,2019-10-07,2.99,8,8,1155680,0,20000,
30 Seconds To Jail,2018-05-04,2.99,55,22,817770,20000,50000,
Wizard101,2018-09-06,0.0,3782,912,799960,500000,1000000,
Klepto,2016-06-30,12.99,59,159,403590,0,20000,
Idle Trading Simulator,2021-09-02,0.49,5,12,1712670,20000,50000,
Superfighters Deluxe,2018-11-30,9.99,2078,231,855860,100000,200000,
Fishy Dungeon Delving,2019-05-05,0.0,1,0,1053700,0,20000,
Journey of Johann,2017-05-18,7.99,5,0,625630,0,20000,
Logistics Simulator,2021-08-09,14.99,12,8,1617420,0,20000,
Rule the Rail!,2020-02-17,14.99,12,6,1236760,0,20000,
Damien Crawford's Golf Experience 2022,2022-04-26,1.99,5,1,1964940,0,20000,
Labyrinth Legend,2020-07-21,6.99,30,4,1321010,0,20000,
Frederic: Evil Strikes Back,2014-05-23,7.99,658,121,301200,200000,500000,1.0
"Don't Die Dateless, Dummy!",2016-03-21,2.99,42,25,455490,0,20000,
Night Blade,2021-05-01,9.99,29,12,1591340,0,20000,
The Vampire Regent,2021-09-09,6.99,21,5,1515420,0,20000,
Slav Dangerous,2021-02-17,9.99,2,0,1539950,0,20000,
Protect Ukraine,2022-04-09,0.99,11,6,1922600,0,20000,
Mage Tower,2022-01-16,9.99,21,10,1637200,0,20000,
Not Another Weekend,2021-05-20,10.99,60,1,1432200,0,20000,
Torment: Tides of Numenera,2017-02-27,34.99,2737,1182,272270,200000,500000,26.0
The Dark Side,2020-01-20,5.99,10,5,1017880,0,20000,
Man of the World,2022-07-13,2.99,1,1,1576930,0,20000,
Trucks & Trailers,2014-06-04,4.99,310,148,302060,100000,200000,7.0
Rag Doll Joe,2019-12-08,0.0,137,30,802050,0,20000,
BellyBots,2016-07-26,0.0,33,8,493100,0,20000,
TETRA's Escape,2018-08-10,4.99,24,2,827460,0,20000,2.0
FlyWings 2018 Flight Simulator,2018-12-28,24.99,9,29,928880,0,20000,
Fei Duanmu VS Kobayashi 端木斐 VS 小林正雪,2018-11-01,5.99,162,13,806740,0,20000,
Dragon's Wake,2015-12-10,3.99,359,46,399070,20000,50000,1.0
Metal Faith,2021-08-02,9.99,1,0,1684240,20000,50000,
Finger Guessing King,2020-10-21,0.9,0,1,1296580,0,20000,
New Tricks for Old Gods,2019-10-21,1.99,3,0,1165490,0,20000,
Dave,2018-11-30,3.99,27,0,833980,0,20000,2.0
